City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
392,Saint-Leu,RE,89.6,light rain,-21.15,55.2833,La Caz Oceane
401,Thinadhoo,MV,82.76,scattered clouds,0.5333,72.9333,
406,Merauke,ID,82.27,overcast clouds,-8.4667,140.3333,
411,Maragogi,BR,79.07,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
419,Bhadrak,IN,83.64,clear sky,21.0633,86.5054,Hotel bluevine
430,Parian Dakula,PH,82.27,overcast clouds,5.5567,120.7719,
437,Maroantsetra,MG,85.59,light rain,-15.4333,49.7333,Annexe Vatsy Hôtel
438,Axim,GH,83.1,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
448,Bintulu,MY,82.0,broken clouds,3.1667,113.0333,900 Boutique INN
455,Ahuimanu,US,75.2,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
457,Sawakin,SD,80.35,broken clouds,19.1059,37.3321,فندق الدويم
458,Vao,NC,75.0,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
459,Davila,PH,80.6,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
461,Salinopolis,BR,79.07,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
462,Karratha,AU,86.72,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
463,Maine-Soroa,NE,75.99,clear sky,13.2114,12.0241,
464,Kloulklubed,PW,80.6,broken clouds,7.0419,134.2556,Storyboard Beach Resort
472,Alyangula,AU,80.6,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
476,Mpanda,TZ,75.29,overcast clouds,-6.3655,31.0409,CH Hotel - Mpanda
483,Tautira,PF,78.01,light rain,-17.7333,-149.15,Pension Oaoa
485,Faanui,PF,81.03,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
493,Sorong,ID,82.11,light rain,-0.8833,131.25,The Waigo Hotel
499,Takoradi,GH,83.61,overcast clouds,4.8845,-1.7554,Raybow International Hotel
500,Cabedelo,BR,78.8,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
503,Noumea,NC,77.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
508,Puerto Madero,MX,76.5,clear sky,14.7208,-92.4215,Hotel La Central
510,Paciran,ID,80.73,heavy intensity rain,-6.8767,112.3761,Tanjung Kodok Beach Resort
518,Garissa,KE,85.96,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
521,Vaitape,PF,81.05,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
523,Cockburn Town,TC,75.88,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
524,Saint-Pierre,RE,89.6,light rain,-21.3393,55.4781,Lindsey Hôtel
527,Nanyamba,TZ,86.0,light rain,-10.6833,39.8333,Busati Lodge Nanyamba
528,Sao Joao Da Barra,BR,77.0,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
536,Dekar,BW,77.04,light rain,-21.5333,21.9333,
537,Saldanha,ZA,86.0,few clouds,-33.0117,17.9442,Blue Bay Lodge
541,Potiskum,NG,78.48,scattered clouds,11.7091,11.0694,Tamir Hotel Ltd
544,Balikpapan,ID,82.4,few clouds,-1.2675,116.8289,Grand Jatra Hotel Balikpapan
555,Waingapu,ID,82.22,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
558,Mount Isa,AU,78.8,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
559,Narathiwat,TH,84.2,few clouds,6.3333,101.75,MUSOR
564,Yenagoa,NG,87.91,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
567,Menongue,AO,79.3,broken clouds,-14.6585,17.691,Ritz Lauca
578,Narasannapeta,IN,80.46,clear sky,18.4167,84.05,G.lingaraju home
580,Hambantota,LK,89.6,light rain,6.1241,81.1185,Bungalow 63
581,San Policarpo,PH,80.98,clear sky,12.1791,125.5072,JM Lodge
582,Sinjai,ID,81.9,light rain,-5.1241,120.25299999999999,Wisma Sandika
587,Victor Harbor,AU,80.6,clear sky,-35.5667,138.6167,McCracken Country Club
588,Touba,CI,83.5,clear sky,8.2833,-7.6833,Hotel de L'Amitié Vraie
