,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
150,Luderitz,NA,-26.6481,15.1594,75.24,57,31,7.54,scattered clouds
151,Sur,OM,22.5667,59.5289,73.65,59,0,25.93,clear sky
152,Pisco,PE,-13.7,-76.2167,69.8,88,0,3.44,clear sky
153,Barra Patuca,HN,15.8,-84.2833,74.91,88,68,5.77,light rain
154,Miandrivazo,MG,-19.5167,45.4667,92.79,46,100,5.12,overcast clouds
155,Pa Sang,TH,18.5262,98.9394,84.2,32,20,3.44,few clouds
156,Srednekolymsk,RU,67.45,153.6833,-43.69,80,49,2.66,scattered clouds
157,Chokurdakh,RU,70.6333,147.9167,-43.85,79,26,4.32,scattered clouds
158,Trelleborg,SE,55.3751,13.1569,41.0,87,75,16.11,broken clouds
159,Kushima,JP,31.4583,131.2333,64.4,94,75,8.05,broken clouds
160,Mareeba,AU,-17.0,145.4333,80.6,74,100,10.36,overcast clouds
161,Tessalit,ML,20.1986,1.0114,72.57,16,5,14.88,clear sky
162,Harwich,GB,51.9419,1.2844,39.0,86,0,4.0,clear sky
163,Port Macquarie,AU,-31.4333,152.9167,72.0,81,0,12.39,clear sky
164,Pascagoula,US,30.3658,-88.5561,62.6,94,90,4.61,overcast clouds
165,Ustye,RU,59.6304,39.736,2.89,94,100,11.27,snow
166,Yei,SS,4.095,30.6779,92.88,18,100,5.75,overcast clouds
167,Porto Walter,BR,-8.2686,-72.7439,70.09,94,29,0.51,scattered clouds
168,Bredasdorp,ZA,-34.5322,20.0403,80.6,57,19,9.22,few clouds
169,Aksarka,RU,66.5606,67.7975,-39.73,81,39,6.78,scattered clouds
170,Inongo,CD,-1.95,18.2667,83.05,65,55,2.89,broken clouds
171,Hamilton,US,39.1834,-84.5333,33.8,55,1,4.61,clear sky
172,Klaksvik,FO,62.2266,-6.589,33.8,80,40,20.71,light snow
173,Faya,SA,18.3851,42.4509,69.8,28,27,11.5,scattered clouds
174,Torbay,CA,47.6666,-52.7314,28.99,93,90,27.63,snow
175,Vila Franca Do Campo,PT,37.7167,-25.4333,60.01,100,75,8.05,light rain
176,Santiago Del Estero,AR,-27.7951,-64.2615,66.99,83,0,1.99,clear sky
177,Berlevag,NO,70.8578,29.0864,15.8,73,0,17.27,clear sky
178,Praia Da Vitoria,PT,38.7333,-27.0667,59.0,94,75,10.16,light rain
179,Itarema,BR,-2.9248,-39.9167,79.16,80,100,11.9,overcast clouds
180,Bairiki,KI,1.3292,172.9752,77.0,94,90,8.05,overcast clouds
181,Ancud,CL,-41.8697,-73.8203,55.99,100,90,1.57,fog
182,Bahar,IR,34.9072,48.4414,28.4,54,0,9.22,clear sky
183,Gazli,UZ,40.1333,63.45,28.78,89,18,11.34,few clouds
184,Nouadhibou,MR,20.931,-17.0347,66.2,26,100,16.11,overcast clouds
185,Shingu,JP,33.7333,135.9833,57.2,94,75,3.44,moderate rain
186,Virginia Beach,US,36.8529,-75.978,42.8,52,75,8.05,broken clouds
187,Ormond Beach,US,29.2858,-81.0559,62.01,88,75,8.05,broken clouds
188,Quatre Cocos,MU,-20.2078,57.7625,86.0,65,40,10.36,scattered clouds
189,North Bend,US,43.4065,-124.2243,44.6,93,90,4.61,overcast clouds
190,Moose Factory,CA,51.2585,-80.6094,5.0,85,90,11.5,light snow
191,Yar-Sale,RU,66.8333,70.8333,-36.18,83,92,8.3,overcast clouds
192,Craig,US,40.5153,-107.5464,28.4,93,90,3.44,overcast clouds
193,Severo-Kurilsk,RU,50.6789,156.125,20.35,89,99,3.31,overcast clouds
194,Kostomuksha,RU,64.571,30.5767,6.76,93,100,12.5,overcast clouds
195,Glodeni,MD,47.7708,27.5144,41.0,75,0,13.8,clear sky
196,Anadyr,RU,64.75,177.4833,3.2,85,75,4.47,light snow
197,Taksimo,RU,56.3444,114.8794,-21.64,81,98,0.6,overcast clouds
198,Yumen,CN,40.2833,97.2,31.87,68,0,3.67,clear sky
199,Calbuco,CL,-41.768,-73.1273,60.8,94,90,5.75,overcast clouds
200,Mujiayingzi,CN,42.1167,118.7833,10.8,90,0,1.14,clear sky
201,Sivaki,RU,52.6333,126.75,-20.97,85,0,2.04,clear sky
202,Pitimbu,BR,-7.4706,-34.8086,78.8,83,40,6.91,scattered clouds
203,Pangkalanbuun,ID,-2.6833,111.6167,78.03,86,100,6.53,moderate rain
204,Tabas,IR,33.5959,56.9244,46.4,17,0,9.22,clear sky
205,Nuuk,GL,64.1835,-51.7216,21.2,79,0,2.3,clear sky
206,Kologriv,RU,58.8275,44.3178,-4.56,90,100,5.44,overcast clouds
207,Saint-Philippe,RE,-21.3585,55.7679,89.6,62,75,9.22,broken clouds
208,Pacific Grove,US,36.6177,-121.9166,53.01,87,20,4.61,few clouds
209,Champerico,GT,14.3,-91.9167,57.99,84,0,4.0,clear sky
210,Rio Grande,BR,-32.035,-52.0986,75.0,87,4,3.0,clear sky
211,Placido De Castro,BR,-10.3353,-67.1856,71.85,95,100,2.21,overcast clouds
212,Ixtapa,MX,20.7,-105.2,66.99,92,26,2.19,scattered clouds
213,Berck,FR,50.4,1.6,44.6,76,0,3.44,clear sky
214,Jibuti,DJ,11.5,42.5,80.6,54,1,10.36,clear sky
215,Tra Vinh,VN,9.9347,106.3453,80.06,73,87,4.65,overcast clouds
216,Maues,BR,-3.3836,-57.7186,69.31,98,72,0.96,broken clouds
217,Manokwari,ID,-0.8667,134.0833,81.05,73,54,4.21,broken clouds
218,Liverpool,GB,53.4106,-2.9779,41.0,81,75,13.8,broken clouds
219,Nikolskoye,RU,59.7035,30.7861,24.8,93,90,8.95,light snow
220,Teya,RU,60.3778,92.6267,-18.33,84,100,5.46,light snow
221,Imbituba,BR,-28.24,-48.6703,71.6,94,75,6.91,broken clouds
222,Teahupoo,PF,-17.8333,-149.2667,78.01,74,8,23.0,clear sky
223,Maniitsoq,GL,65.4167,-52.9,23.02,80,0,2.39,clear sky
224,Muroto,JP,33.2833,134.15,60.8,88,75,2.3,broken clouds
225,Bilibino,RU,68.0546,166.4372,-16.33,82,100,3.85,overcast clouds
226,Tuchkovo,RU,55.6011,36.4681,28.99,93,90,6.71,mist
227,Boden,SE,65.8252,21.6886,17.6,93,90,12.66,snow
228,Sovkhoznyy,RU,45.2946,38.1138,48.2,66,40,26.84,scattered clouds
229,Kattivakkam,IN,13.2167,80.3167,86.0,62,40,11.5,scattered clouds
230,Arouca,TT,10.6333,-61.3333,75.99,88,20,4.83,few clouds
231,Roald,NO,62.5833,6.1333,35.01,86,75,3.44,broken clouds
232,Saskylakh,RU,71.9167,114.0833,-17.36,87,100,8.16,overcast clouds
233,Mahebourg,MU,-20.4081,57.7,84.2,65,40,10.36,scattered clouds
234,Katsuura,JP,35.1333,140.3,53.6,58,40,6.91,scattered clouds
235,Aripuana,BR,-9.1667,-60.6333,69.19,99,100,1.41,light rain
236,Harper,LR,4.375,-7.7169,81.12,79,65,6.44,light rain
237,Lompoc,US,34.6391,-120.4579,45.0,93,99,5.75,overcast clouds
238,Port Hardy,CA,50.6996,-127.4199,30.2,93,75,4.61,broken clouds
239,Krasnyy Chikoy,RU,50.3643,108.7512,7.12,91,0,2.19,clear sky
240,Sorkjosen,NO,69.8,20.9333,12.2,62,90,42.57,snow
241,Bouna,CI,9.2667,-3.0,84.67,13,0,7.9,clear sky
242,Morros,BR,-9.4467,-46.3003,72.66,86,1,3.22,light rain
243,Vung Tau,VN,10.346,107.0843,77.41,82,91,7.54,overcast clouds
244,Puyang,CN,29.4603,119.8861,53.26,90,99,3.36,overcast clouds
245,Boende,CD,-0.2167,20.8667,93.7,40,100,2.64,overcast clouds
246,San Luis,AR,-33.295,-66.3356,71.51,36,0,12.55,clear sky
247,Honiara,SB,-9.4333,159.95,77.27,73,45,3.15,scattered clouds
248,Olafsvik,IS,64.8945,-23.7142,28.47,90,58,28.74,broken clouds
249,Kayerkan,RU,69.3497,87.7602,-37.98,76,17,3.49,few clouds
250,Banda Aceh,ID,5.5577,95.3222,80.1,66,47,9.64,scattered clouds
251,Matay,EG,28.419,30.7792,64.24,29,0,9.89,clear sky
252,Hay River,CA,60.8156,-115.7999,-4.0,77,100,5.75,overcast clouds
253,Alofi,NU,-19.0595,-169.9187,78.8,94,99,3.44,moderate rain
254,Aklavik,CA,68.2191,-135.0107,3.2,78,85,4.61,overcast clouds
255,Kahului,US,20.8947,-156.47,71.6,68,1,10.36,clear sky
256,Opuwo,NA,-18.0607,13.84,71.94,67,97,4.27,overcast clouds
257,Oussouye,SN,12.485,-16.5469,78.8,46,0,9.22,clear sky
